"Skill","Type","Lv","Damage","Cooldown","HitsOrTicks","BurstPotential","DPS_Est","Range","AreaOrRadius","Note"
"Basic Projectile","Projectile","1","9.0","1.20","1.00","9.0","7.5","12.0","2.5","projectile: includes pierce potential"
"Basic Projectile","Projectile","2","9.6","1.12","1.00","9.6","8.6","12.0","2.5","projectile: includes pierce potential"
"Basic Projectile","Projectile","3","10.2","1.04","1.00","10.2","9.8","13.0","2.5","projectile: includes pierce potential"
"Basic Projectile","Projectile","4","11.4","0.96","2.00","22.8","23.8","14.0","2.5","projectile: includes pierce potential"
"Basic Projectile","Projectile","5","13.2","0.88","3.00","39.6","45.0","15.0","2.5","projectile: includes pierce potential"
"Pierce Projectile","Projectile","1","10.8","1.60","3.00","32.4","20.3","14.0","2.5","projectile: includes pierce potential"
"Pierce Projectile","Projectile","2","13.2","1.52","5.00","66.0","43.4","15.0","2.5","projectile: includes pierce potential"
"Damage Aura","AreaAura","1","3.6","1.28","4.00","14.4","3.4","6.0","6.0","aura: one target inside area"
"Damage Aura","AreaAura","2","5.4","1.04","6.00","32.4","7.1","7.0","7.0","aura: one target inside area"
"Orbital Blades","Orbital","1","4.2","8.00","5.00","21.0","21.0","4.0","2.5","orbital sustained per second, ideal contact"
"Orbital Blades","Orbital","2","4.8","8.00","10.00","48.0","48.0","4.0","2.5","orbital sustained per second, ideal contact"
"Orbital Blades","Orbital","3","6.0","8.00","15.00","90.0","90.0","4.5","2.5","orbital sustained per second, ideal contact"
"Bullet Storm","Ultimate","1","16.8","24.00","60.00","1008.0","42.0","20.0","2.5","ultimate: full burst averaged over cooldown"
"수류탄","Grenade","1","24.0","6.40","1.00","24.0","3.8","10.0","2.5","grenade main splash, single target"
"수류탄","Grenade","2","36.0","4.80","1.00","36.0","7.5","10.0","3.0","grenade main splash, single target"
"수류탄","Grenade","3","48.0","4.00","1.00","48.0","12.0","10.0","3.5","grenade main splash, single target"
"기관총","ScatterShot","1","3.0","5.60","8.00","24.0","4.3","10.0","2.5","scatter: assumes every bullet hits"
"기관총","ScatterShot","2","4.2","4.80","10.00","42.0","8.8","10.0","2.5","scatter: assumes every bullet hits"
"기관총","ScatterShot","3","5.4","3.52","12.00","64.8","18.4","10.0","2.5","scatter: assumes every bullet hits"
"망치","Melee","1","25.0","3.20","1.00","25.0","7.8","0.0","2.5","melee box main hit"
"망치","Melee","2","38.0","2.88","1.00","38.0","13.2","0.0","2.5","melee box main hit"
"망치","Melee","3","50.0","2.40","1.00","50.0","20.8","0.0","2.5","melee box main hit"
"클러스터 수류탄","ClusterGrenade","1","20.4","6.40","3.50","71.4","11.2","12.0","2.0","cluster: main + sub grenade damage potential"
"충격 궤도","OrbitalGrenade","1","25.2","3.20","20.00","504.0","504.0","25.0","2.5","orbital grenade sustained, ideal contact"
"블랙홀","BlackHole","1","9.6","12.80","16.00","153.6","8.2","12.0","8.0","black hole ticks averaged over cooldown+duration"
"관통 산탄","PierceShotgun","1","13.8","4.80","1.00","13.8","2.9","12.0","2.5","pierce shotgun: per target in cone"
"대지분쇄자","Earthshatter","1","65.0","2.24","3.25","211.3","94.3","0.0","2.5","earthshatter: main + aftershock if same target overlaps"
"질풍확산탄","GaleSpread","1","9.0","3.20","22.00","198.0","61.9","13.0","2.5","gale spread: haste bonus not included"
"샷건","Shotgun","1","6.0","1.92","1.00","6.0","3.1","12.0","2.5","shotgun: current code nearest 1 target"
"샷건","Shotgun","2","7.2","1.76","1.00","7.2","4.1","13.0","2.5","shotgun: current code nearest 1 target"
"왕복 관통창","PiercingBoomerang","1","19.8","1.60","2.00","39.6","24.8","20.0","2.5","boomerang: outbound+return, stack amp not included"
"생명흡수탄","LifeDrainBolt","1","19.8","0.80","5.00","99.0","123.8","17.0","2.5","life drain bolt: projectile + orbiting satellites rough potential"
