"SkillMax","Type","DPS_Est","BossData_A@0m TTK","BossData_A@6m TTK","EnemyData_A@0m TTK","EnemyData_A@6m TTK","EnemyData_B@0m TTK","EnemyData_B@6m TTK","EnemyData_C@0m TTK","EnemyData_C@6m TTK"
"충격 궤도","OrbitalGrenade","504.0","2.0","3.5","0.1","0.2","0.1","0.1","0.3","0.5"
"생명흡수탄","LifeDrainBolt","123.8","8.1","14.1","0.4","0.7","0.2","0.4","1.2","2.1"
"대지분쇄자","Earthshatter","94.3","10.6","18.6","0.5","0.9","0.3","0.6","1.6","2.8"
"Orbital Blades","Orbital","90.0","11.1","19.4","0.6","1.0","0.3","0.6","1.7","2.9"
"질풍확산탄","GaleSpread","61.9","16.2","28.3","0.8","1.4","0.5","0.8","2.4","4.2"
"Basic Projectile","Projectile","45.0","22.2","38.9","1.1","1.9","0.7","1.2","3.3","5.8"
"Pierce Projectile","Projectile","43.4","23.0","40.3","1.2","2.0","0.7","1.2","3.5","6.0"
"Bullet Storm","Ultimate","42.0","23.8","41.7","1.2","2.1","0.7","1.3","3.6","6.3"
"왕복 관통창","PiercingBoomerang","24.8","40.4","70.7","2.0","3.5","1.2","2.1","6.1","10.6"
"망치","Melee","20.8","48.0","84.0","2.4","4.2","1.4","2.5","7.2","12.6"
"기관총","ScatterShot","18.4","54.3","95.1","2.7","4.8","1.6","2.9","8.1","14.3"
"수류탄","Grenade","12.0","83.3","145.8","4.2","7.3","2.5","4.4","12.5","21.9"
"클러스터 수류탄","ClusterGrenade","11.2","89.6","156.9","4.5","7.8","2.7","4.7","13.4","23.5"
"블랙홀","BlackHole","8.2","122.4","214.2","6.1","10.7","3.7","6.4","18.4","32.1"
"Damage Aura","AreaAura","7.1","140.1","245.2","7.0","12.3","4.2","7.4","21.0","36.8"
"샷건","Shotgun","4.1","244.4","427.8","12.2","21.4","7.3","12.8","36.7","64.2"
"관통 산탄","PierceShotgun","2.9","347.8","608.7","17.4","30.4","10.4","18.3","52.2","91.3"
